I'm saying no.	Estou dizendo que não.
I decided the same.	Eu decidi o mesmo.
Bring your student ID!	Tragam o seu RG Escolar!
How much is the ticket?	Quanto é o ingresso?
Don't worry about Tom just yet.	Não se preocupe com o Tom ainda.
It'll be difficult to find somebody to do that for you.	Será difícil encontrar alguém que faça isso por ti.
No miser has yet been found who was satisfied with what he had.	Nenhum avarento foi até hoje encontrado que estivesse satisfeito com o que possuía.
I am filthy rich.	Eu sou podre de rico.
I was surprised at his strong resemblance to his father.	Fiquei surpreso com sua grande semelhança com o pai.
He asked if I liked Chinese food.	Ele perguntou se eu gostava de comida chinesa.
You're materialistic.	Você é materialista.
People who are afraid of making mistakes will make no progress in English conversation.	As pessoas que têm medo de cometer erros nunca farão progresso em conversação em inglês
My brother and I shared the room.	Meu irmão e eu compartilhamos a sala.
If I knew anything, I'd tell you.	Se eu soubesse alguma coisa, eu te contaria.
Things didn't go the way Tom wanted.	As coisas não foram como o Tom queria.
Is this seat empty?	Este assento está vazio?
Tom became very concerned.	O Tom ficou muito preocupado.
Tom is waiting in the lobby.	Tom está esperando no saguão.
That's our train.	Aquele é o nosso trem.
I'd like to propose something.	Gostaria de propor alguma coisa.
I'm not patient.	Não sou paciente.
I ordered half a dozen books on chemistry from New York.	Encomendei meia dúzia de livros de química de Nova York.
Isolated material particles are abstractions, their properties being definable and observable only through their interaction with other systems.	Partículas materiais isoladas são abstrações, podendo suas propriedades ser definidas e observadas apenas através da interação com outros sistemas.
Tom didn't seem to mind at all.	Tom não parecia se importar com nada.
He drowned in the ocean.	Ele se afogou no oceano.
Am I missing something?	Eu estou perdendo alguma coisa?
They'll fail.	Eles fracassarão.
After all, their form of transport produces no pollution at all.	Afinal, sua forma de transporte não produz poluição alguma.
Are you kidding?	Você está brincando?
You'll have to get help.	Vocês terão de conseguir ajuda.
I don't like this food.	Eu não gosto dessa comida.
I forgot to take my bag.	Eu esqueci de pegar minha sacola.
Tom installed a surveillance camera.	Tom instalou uma câmera de vigilância.
The flight is expected to arrive at noon.	É esperado que o voo chegue ao meio-dia.
Tom seldom laughed at Mary's jokes.	Tom raramente ri das piadas de Maria.
Tom is proud of his stamp collection.	O Tom se orgulha de sua coleção de selos.
I'm too happy!	Estou feliz demais!
I can't stand this pain longer.	Não suporto mais essa dor.
Let Tom eat what he wants.	Deixe o Tom comer o que ele quer.
In an ugly and unhappy world the richest man can purchase nothing but ugliness and unhappiness.	Em um mundo feio e infeliz o mais rico dos homens só pode comprar fealdade e infortúnio.
I couldn't live like that.	Eu não poderia viver assim.
It's a very rocky soil, isn't it?	É um solo muito pedregoso, não é?
Tom regrets waiting.	Tom lamenta esperar.
There is a book on dancing on the desk.	Há um livro sobre danças em cima da mesa.
Would you mind if I used this?	Você se importaria se eu usasse isso?
He is playing there.	Ele está jogando lá.
I gave Tom an apple.	Dei uma maçã ao Tom.
Everyone in the room laughed.	Todos na sala riram.
They were blessed.	Elas foram abençoadas.
I promised my parents I wouldn't drink.	Eu prometi aos meus pais que não iria beber.
What we are seeing now is a country teetering on the brink of civil war.	O que estamos vendo agora é um país oscilando à beira de uma guerra civil.
Do you remember any words in Finnish?	Você se lembra de alguma palavra em finlandês?
You said we were friends.	Você disse que nós éramos amigos.
Just out of curiosity, what would you do?	Só por curiosidade, o que vocês fariam?
Biden, as a former U.S. vice president and one-time member of the Senate Committee on Foreign Relations, will probably uphold existing U.S.-China policy, said Liu Yih-jiun, public affairs professor at Fo Guang University in Taiwan.	O Biden, como ex-vice-presidente dos EUA e uma vez membro da Comissão de Relações Externas do Senado, irá provavelmente preservar a política existente entre os EUA e a China, disse o Liu Yih-jiun, professor de Assuntos Públicos na Universidade Fo Guang em Taiwan.
He is a daredevil.	Ele é um demônio.
She was happy that she passed the exam.	Ela ficou feliz por passar no exame.
Tom and I often eat dinner together.	Tom e eu costumamos jantar juntos.
The quick brown fox didn't jump over the lazy dog.	A veloz raposa marrom não pulou sobre o cachorro preguiçoso.
I'm going to move to Boston.	Eu vou me mudar para Boston.
A bunch of people told me not to eat there.	Um monte de gente me falou para não comer lá.
Money talks.	O dinheiro fala mais alto.
My best friend lives in Kabylie.	Meu melhor amigo vive em Kabylie.
Woodpeckers peck tree trunks with their long pointed beaks and eat insects found there.	Os pica-paus bicam troncos de árvores com seus longos bicos pontudos e comem insetos lá encontrados.
When do you think you'll see Tom again?	Quando você acha que vai ver o Tom novamente?
I confessed my sin.	Confessei meu erro.
The request was denied.	O pedido foi negado.
They face up to seven years in prison.	Eles podem pegar até sete anos de prisão.
Tom dug a hole.	Tom cavou um buraco.
Tom's younger daughter is married.	A filha caçula de Tom é casada.
What do you think I've been doing?	O que é que você pensa que eu andei fazendo?
Police say the scalping ring had made up to $450,000 per game by re-selling the complimentary tickets.	A polícia diz que a quadrilha de revenda ganhara até 450.000 $ por jogo ao revender os bilhetes promocionais.
They are waiting for you in front of the door.	Elas estão te esperando na frente da porta.
Have you met him already?	Você já foi apresentada a ele?
Tom has no idea what to say.	Tom não tem ideia do que dizer.
Why did you yell?	Por que gritaste?
Tom doesn't like women who wear too much makeup.	Tom não gosta de mulheres que usam muita maquiagem.
I must die.	Eu devo morrer.
Franklin Roosevelt became president in 1933.	Franklin Roosevelt se tornou presidente em 1933.
What were you going to do?	O que vocês iam fazer?
We could've called for help.	Poderiámos ter pedido por ajuda.
Tom stabbed Mary thirteen times.	Tom apunhalou Maria treze vezes.
What time did you go to sleep?	A que horas você foi dormir?
You've outdone yourself this time.	Desta vez o senhor se superou.
How careless you are to forget such an important thing!	Que distraídos sois, para vos esquecerdes de uma coisa tão importante!
He lived alone in the countryside.	Ele morava sozinho na zona rural.
The party was poorly planned.	A festa foi mal planejada.
Will you help me with the translation?	Você vai me ajudar a traduzir?
Who loves who?	Quem ama quem?
I'll take a nap after lunch.	Vou tirar uma soneca depois do almoço.
I'll be drinking more water.	Estarei bebendo mais água.
Take a little nap on the couch.	Tire uma sonequinha no sofá.
The sky cleared up.	O tempo limpou.
Why didn't you go home?	Por que você não foi para casa?
I got a new job.	Eu tenho um novo emprego.
Ain't she cute?	Ela não é bonitinha?
It started a chain reaction.	Começou uma reação em cadeia.
I want you to know that I meant every word I said.	Quero que você saiba que fui sincero em cada palavra que disse.
We played poker the entire day.	Nós passamos o dia todo jogando pôquer.
You must be kidding me.	Você só pode estar brincando.
We'll scream.	Nós iremos gritar.
But a man is not made for defeat. A man can be destroyed but not defeated.	Mas um homem não foi feito para a derrota. Um homem pode ser destruído, mas não derrotado.
I like your car.	Eu gosto de seu carro.
Tobacco smoke contains hydrogen cyanide, a poisonous gas.	A fumaça do tabaco contém cianeto de hidrogénio, um gás venenoso.
Tom didn't take part in the marathon.	O Tom não participou da maratona.
Anyone who has played chess a few times understands how it can be engrossing in the extreme.	Qualquer pessoa que já tenha jogado xadrez algumas vezes entende como ele pode ser absorvente ao extremo.
Where do I get the subway?	Onde pego o metrô?
I don't feel like it now.	Não estou com vontade agora.
It must be removed.	Isso precisa ser removido.
I didn't need this.	Eu não precisava disso.
You're my new assistant.	Você é meu novo assistente.
I read contemporary Greek literature.	Eu leio literatura grega contemporânea.
What's the longest river in Australia?	Qual é o o rio mais longo da Austrália?
I'll sleep here.	Vou dormir aqui.
I wonder if Tom thought it was a bad idea to do that.	Eu me pergunto se o Tom achou que era uma má ideia fazer isso.
I didn't say Tom was involved.	Eu não disse que o Tom estava envolvido.
I have a message for you from Tom.	Eu tenho uma mensagem do Tom para você.
The road to success is always under construction.	O caminho para o sucesso está sempre em construção.
However, some observers say the activities are an intrinsic part of a delicate diplomatic balancing act over contested territory in the South China Sea.	No entanto, alguns observadores dizem que as atividades são parte intrínseca de um delicado equilibrismo diplomático relacionado com o território contestado no Mar Meridional da China.
Don't open before the train stops.	Não abra antes do trem parar.
What time did that happen?	A que horas isso aconteceu?
Tom watched from the sidelines.	Tom assistiu do lado de fora.
No one but Tom waited.	Ninguém, mas Tom esperou.
OK, no big deal.	Tudo bem, não faz mal.
I haven't bought you a Christmas present yet.	Eu ainda não comprei um presente de Natal para você.
I knew who he was.	Eu sabia quem ele era.
You're way smarter than I am.	Você é muito mais inteligente do que eu.
He was somewhat disappointed to hear the news.	Ele ficou de certa forma desapontado ao ouvir as notícias.
I don't like what Tom is doing.	Não gosto do que o Tom está fazendo.
Were there any survivors?	Houve algum sobrevivente?
A faithful friend is a soul in two bodies.	Um amigo fiel é uma alma em dois corpos.
I have a job to finish.	Eu tenho um trabalho para terminar.
The medicine is hard to swallow.	O remédio é difícil de engolir.
I see what you mean.	Eu entendo o que você quer dizer.
He didn't want to name names.	Ele não quis citar nomes.
He replies saying yes.	Ele responde que sim.
Now that he has graduated, he must become more serious.	Agora que ele se graduou, ele precisa ser mais sério.
I have to deal with this issue.	Eu tenho que lidar com esse problema.
What hours is the shopping center open?	Que hora o shopping center está aberto?
Could I have a napkin, please?	Por favor, um guardanapo.
Tom probably didn't go there yesterday.	O Tom provavelmente não foi lá ontem.
Tom doesn't have any experience.	Tom não tem experiência.
I want popcorn.	Eu quero pipoca.
Tom is dreaming again.	Tom está sonhando de novo.
I don't drink that much beer.	Eu não bebo tanta cerveja assim.
How many students are there in the school?	Quantos alunos há na escola?
I knew I was making progress.	Eu sabia que estava progredindo.
We had coffee together.	Nós tomamos café juntos.
Do you seriously want to race me?	Você quer mesmo correr comigo?
I don't see any differences between the approaches of Esperantists and of Jehovah's Witnesses.	Não vejo diferença entre as abordagens de esperantistas e de testemunhas de Jeová.
I'll soon change that.	Mudarei isso em breve.
Tom was looking for his pen.	Tom estava procurando a caneta dele.
Tom is unemotional.	Tom está sem emoção.
You can use my umbrella.	Você pode usar o meu guarda-chuva.
You're old.	Vocês estão velhas.
Nobody seemed surprised.	Ninguém parecia surpreso.
The next concert will take place in October.	O próximo show será em outubro.
Let's take the express train. We'll get there earlier.	Vamos pegar o trem expresso. Chegaremos lá mais cedo.
Tom is at a conference in Boston.	Tom está em um congresso em Boston.
It's too far to walk to the station, so let's take a bus.	É muito longe ir a pé até a estação; vamos pegar um ônibus.
Lee Sedol was defeated by Google DeepMind's computer program, Alpha Go.	Lee Sedol foi derrotado pelo programa de computador do Google DeepMind, o Alpha Go.
Last night, the temperature went down to ten degrees below zero.	Ontem a noite esfriou dez graus abaixo de zero.
When flaxseeds are wet they become very sticky on the outside.	Quando a linhaça se molha, ela torna-se muito pegajosa no exterior.
Why did you do that by yourselves?	Por que vocês fizeram isso sozinhos?
Why do you need to read such a book?	Por que você precisa ler um livro assim?
I'm not going to take that risk again.	Eu não vou correr esse risco novamente.
I don't want to make the same mistakes as Tom did.	Eu não quero cometer os mesmos erros que o Tom.
Tom blocked my way.	Tom bloqueou o meu caminho.
Is French hard to learn?	É difícil aprender francês?
My father is out.	Meu pai saiu.
Tom and Mary talked about sports.	Tom e Mary conversaram sobre esportes.
I won't tell Tom.	Não vou contar para o Tom.
It’s believed purple nut sedge may have the ability to inhibit the growth of Streptococcus mutans.	Acredita-se que a juncinha poderá possuir a propriedade de inibir o desenvolvimento do Streptococcus mutans.
Do you like this?	Você gosta disso?
Tom wasn't the one who borrowed my car.	Não foi o Tom quem pegou o meu carro emprestado.
Tom never talked to me.	Tom nunca falou comigo.
We'll try.	Nós tentaremos.
Have you ever memorized the national anthem?	Você já memorizou o hino nacional?
You made your sister cry!	Você fez a sua irmã chorar!
I hope that you'll enjoy your leave.	Espero que você aproveite sua licença.
I think it's time for me to ask for his advice.	Eu acho que é hora de eu pedir seu conselho.
I didn't enjoy this group.	Não estou gostando desse grupo.
What does your father do for a living?	Qual é o trabalho do teu pai?
Tom is still angry.	Tom ainda está furioso.
Tom likes Chinese food.	Tom gosta de comida chinesa.
How many liters of oil do you need?	Quantos litros de óleo você precisa?
It was really cold.	Estava realmente frio.
He said he comes here from time to time.	Ele disse que vem aqui de vez em quando.
You may stay.	Você pode ficar.
Layla and Sami are crossing the line.	Leila e Sami estão ultrapassando os limites.
They have already finished that job.	Eles já terminaram aquele trabalho.
They are disappointed in their son.	Eles estão decepcionados com o filho.
Do you remember your passport number?	Você se lembra do número de seu passaporte?
Be confident.	Sê confiante.
Don't you care about your education?	Você não se importa com sua educação?
Heuristics is a search performed through analytical reasoning.	Heurística é uma busca efetuada por meio de raciocínio analítico.
Our secret was discovered by the government.	Nosso segredo foi descoberto pelo governo.
You're impatient.	Vocês estão impacientes.
We want freedom.	Queremos liberdade.
Tom and I are finished.	Tom e eu terminamos.
I'm listening to the radio.	Eu estou escutando rádio.
That's a big help.	Isso é uma grande ajuda.
It is Egypt that he wants to visit.	É o Egito que ele quer visitar.
Do you want something to do?	Você quer algo para fazer?
I have around thirty of them.	Eu tenho uns trinta deles.
Stay here and wait for him, please.	Fique aqui e espere por ele, por favor.
Tom is well known in Australia.	Tom é bem conhecido na Austrália.
He is an absolute monarch.	Ele é um monarca absoluto.
I said that I was going to do that.	Eu disse que estava indo fazer isso.
What did you think Tom would do?	Que é que o senhor esperava que o Tom fizesse?
Mary crossed her legs.	Maria cruzou as pernas.
He was very vain and was always checking himself out in the mirror.	Ele era muito vaidoso e estava sempre se olhando no espelho.
A truck hit some kids at a bus stop and one of them died.	Um caminhão atingiu algumas crianças em um ponto de ônibus e um deles morreram.
That's a good reason.	Essa é uma boa razão.
I want Tom to invite Mary and John over for dinner.	Quero convidar Tom e Mary para jantar conosco.
Tom is trustworthy, isn't he?	Tom é confiável, não é?
I can't dance either.	Eu também não sei dançar.
Tom is very good at it.	Tom é muito bom nisso.
I struggled to be upfront about where I had been.	Fiquei atrapalhada quando me perguntou de onde vinha.
Tom swims like a fish in the water.	O Tomás nada como um peixe na água.
I'll hide and you find me. OK?	Eu vou me esconder, e então você me acha. Certo?
I want you to know that I meant every word I said.	Quero que vocês saibam que eu fui sincero em cada palavra que disse.
I don't feel like a hero.	Eu não me sinto um herói.
It worked for me.	Isso funcionou para mim.
His wife accompanied him on the piano.	Sua mulher acompanhou-o no piano.
I wonder whether Tom is being sarcastic.	Me pergunto se o Tom está ou não sendo sarcástico.
I can't tell if you're being sarcastic.	Não sei se está sendo sarcástica.
Do you run every day?	Correis diariamente?
The first biodegradable surgical glue for internal use has won approval from the U.S. Food and Drug Administration.	A primeira cola cirúrgica biodegradável para uso interno obteve a aprovação da Administração de Alimentos e Medicamentos dos Estados Unidos.
Tom was made to do so.	Tom foi feito para fazer isso.
These small rodents store up nuts in the winter.	Esses pequenos roedores armazenam nozes no inverno.
Have a good flight.	Tenha um bom voo.
Not everyone works.	Nem todos trabalham.
He's looking for a place to live.	Ele está procurando um lugar para viver.
Pick up the knife.	Pega a faca.
I agree with you to a certain extent.	Concordo com você até certo ponto.
You're weak.	Tu és fraco.
At the tone, please record your message.	Ao sinal, por favor grave sua mensagem.
She herself went there.	Ela mesma foi para lá.
Tom is in the garage changing his oil.	Tom está na garagem trocando o óleo.
Don't accept the world the way it is.	Não aceite o mundo como ele é.
I don't give a damn about it!	Que se dane!
Tom looked a little worried.	Tom parecia um pouco preocupado.
He hit his forehead against the branch of a tree.	Ele bateu a testa contra o galho de uma árvore.
How did you find us?	Como foi que vocês nos encontraram?
I don't want to take your money.	Não quero pegar o seu dinheiro.
Tom tried but he failed.	O Tom tentou, mas falhou.
Tom is incredibly bad at drawing.	Tom desenha muito mal.
Online higher ed has been growing pretty steadily for the past decade.	O ensino superior em linha tem vindo a crescer de forma bastante consistente ao longo da última década.
Do you hate me?	Você me odeia?
He wanted to know everything about you.	Ele queria saber de tudo sobre as senhoras.
It was all the more depressing because it was raining.	Tudo isso era ainda mais deprimente porque estava chovendo.
He wants another piece of cake.	Ele quer outro pedaço de bolo.
This should not be allowed.	Isso deveria ser proibido.
I'm sure that I'll miss her a lot.	Tenho certeza de que sentirei muitas saudades dela.
We both know you are lying to me, don't we?	Ambos sabemos que você está mentindo para mim, não é?
When can you let me know the result?	Quando você vai me deixar saber o resultado?
There is no smoke without fire.	Onde há fumaça há fogo.
Tom showed me around the campus.	Tom me mostrou todo o campus.
Your tripod is in my office.	Seu tripé está no meu escritório.
I wonder who she is.	Me pergunto quem ela é.
The other day I met my former neighbour in the city.	Outro dia eu me encontrei com o meu antigo vizinho na cidade.
There's no escape.	Não há escapatória.
How could we have not seen that?	Como poderíamos nós não ter visto isso?
Why am I supposed to go there?	Por que eu devo ir lá?
You're old.	Tu és velho.
The separatists consider their leader as a prophet.	Os separatistas consideram o seu líder um profeta.
I'm on the list.	Estou na lista.
Do you think he'd go out with me?	Você acha que ele sairia comigo?
Tom grows all the vegetables he eats.	Tom cultiva todos os legumes que come.
I'm relaxed.	Estou relaxado.
A paleontologist in Texas has identified a new species of coelacanth, an ancient fish most closely related to land-dwelling vertebrates, including humans.	Um paleontólogo no Texas identificou uma nova espécie de celacanto, um peixe antigo parente mais próximo dos vertebrados terrestres, incluindo humanos.
Look at that smoke.	Olhe essa fumaça.
I paid attention.	Eu prestei atenção.
Has anyone spoken to him?	Alguém falou com ele?
You're doing something dangerous again. Don't get yourself hurt, got it?	Você está fazendo algo perigoso novamente. Não se machuque, está bem?
Do you know when the musician will come here?	Você sabe quando o músico vai vir aqui?
You play the piano, don't you?	Você toca piano, não é?
Don't worry, I'm taking care of it.	Não se preocupa, eu estou cuidando disso.
They all came by bike.	Todos vieram de bicicleta.
The children made a small hole in the ground for their game of marbles.	Os meninos fizeram um pequeno buraco no solo para o jogo de gude.
I'm obviously disappointed.	Estou obviamente desapontado.
Was that your idea?	Isso foi ideia sua?
The foot contains an ankle and five toes with nails.	No pé, encontram-se um tornozelo e cinco dedos com unhas.
Tom, Mary and John were playing tag on the playground.	Tom, Maria e João estavam brincando de pega-pega no parque infantil.
We'll stay here in Boston for another few days.	Ficaremos aqui em Boston por mais alguns dias.
Is your child a boy or a girl?	Você tem um menino ou uma menina?
He delivered a speech.	Ele proferiu um discurso.
I can't stand noisy children.	Não suporto crianças barulhentas.
All this is necessary.	Tudo isto é necessário.
They don't have one.	Eles não têm uma.
The world is a book and each step opens a page.	O mundo é um livro e cada passo abre uma página.
Tom watched Mary get on the ship.	Tom assistiu Mary entrar no navio.
I found something.	Encontrei alguma coisa.
I tried my best to ignore what was going on.	Tentei fazer o melhor para ignorar o que estava acontecendo.
She raised her hand for the bus to stop.	Ela deu sinal para o ônibus parar.
Tom, my neighbor is a carpenter.	Tom, meu vizinho é carpinteiro.
She accused me of making a mistake.	Ela me acusou de ter cometido um erro.
Tom should be arrested.	Tom deveria ser preso.
Tom said he felt very tired.	Tom disse que estava muito cansado.
Are you scared?	Vocês estão assustados?
How long have you worked for Tom?	Há quanto tempo você trabalha para Tom?
She answered easily.	Ela respondeu facilmente.
Why did you stop talking to me?	Por que você parou de falar comigo?
I'm an alcoholic. I'm a drug addict. I'm homosexual. I'm a genius.	Sou um alcoólatra. Sou viciado em drogas. Sou homossexual. Sou um gênio.
Tom used to get up early.	Tom acordava cedo.
Incredible!	Isso é incrível!
Do you think I don't know why you divorced?	Os senhores imaginam que eu não sei por que se divorciaram?
Thanks for telling me what needed to be done.	Obrigado por me dizer o que precisava ser feito.
Tom is superficial, isn't he?	O Tom é superficial, não é?
What an annoying child!	Que criança chata!
Think!	Pense!
Did you find the murderer?	Você encontrou o assassino?
I tried to stop that from happening.	Eu tentei impedir que isso acontecesse.
"Some movies make such an impact that one never forgets them. Such is the case with ""Life is Beautiful,"" the emotional Benigni film that mixes drama and comedy in an exceptional manner."	"Alguns filmes são tão marcantes que jamais nos saem da lembrança. É o caso da emocionante película de Benigni, ""La vita è bella"", que mistura drama e comédia de maneira excepcional."
I wouldn't expect too much.	Não esperaria muito.
Eris is the largest known dwarf planet in our solar system. It is a little larger than Pluto.	Eris é o maior planeta anão conhecido em nosso sistema solar. É um pouco maior do que Plutão.
I think that you ought to apologize to her.	Acho que você deveria se desculpar com ela.
It's a car that I bought.	É um carro que eu comprei.
It's worth the risk.	Vale a pena o risco.
Why don't you go to your room and play?	Por que não vais ao teu quarto brincar?
Tom and I aren't really interested.	Tom e eu não estamos realmente interessados.
I can't comprehend it.	Eu não consigo compreender.
Tom can help us.	Tom pode nos ajudar.
Tom already knows what happened.	O Tom já sabe o que aconteceu.
I married Tom in 2013.	Eu me casei com Tom em 2013.
You should come back here again.	Você deveria voltar aqui novamente.
I'm not very polite.	Eu não sou muito educado.
Tom was also at the beach.	Tom também estava na praia.
Tom and Mary are worried.	Tom e Maria estão preocupados.
I want you to dig a hole.	Eu quero que vocês cavem um buraco.
Tom speaks Russian better than English.	Tom fala russo melhor que inglês.
Don't respond.	Não respondas.
The challenge of translation fascinates me.	O desafio da tradução me fascina.
Where are my notebooks?	Onde estão meus cadernos?
Tom wants to sell his car.	Tom quer vender o carro dele.
I want to be what you want me to be.	Quero ser o que você quiser que eu seja.
Drive faster.	Dirija rápido.
It isn't there.	Isso não está lá.
Studying French is a lot of fun.	Estudar francês é muito divertido.
Where can I buy a brush?	Onde posso comprar uma escova?
How did you come to that conclusion?	Como vocês chegaram a essa conclusão?
Tom died Monday morning.	Tom morreu segunda-feira de manhã.
I know you recently got a job.	Eu sei que você, recentemente, conseguiu um emprego.
I'm trying to meditate.	Eu estou tentando meditar.
How exactly did you do that?	Como é exatamente que tu fizeste isso?
There's a thirty percent chance of rain.	Há 30% de chance de chuva.
Have you ever brought your dog to this beach?	Você já trouxe o seu cachorro a esta praia?
Tom is making coffee.	Tom está fazendo café.
If there were beings on other planets, what would they look like?	Se existissem seres vivos noutros planetas, qual seria a aparência deles?
He said that he had arrived there that morning.	Ele disse que chegou lá de manhã.
You've quit smoking, right?	Você parou de fumar, certo?
In this game, there are no allies but only enemies.	Neste jogo não há aliados, apenas inimigos.
Did anybody see what happened?	Alguém viu o que aconteceu?
Tom left in a taxi.	Tom foi embora de táxi.
When I returned home, my brother was doing his homework.	Quando cheguei em casa, meu irmão estava fazendo a sua lição de casa.
I guess I'm getting used to it.	Acho que estou me acostumando.
Hold this ladder steady.	Segura esta escada com firmeza.
I think you're drunk.	Eu acho que você está embriagada.
I love teaching children French.	Eu adoro ensinar francês para crianças.
He's drinking water.	Ele está bebendo água.
There is already a subway in Rio.	No Rio já existe metrô.
This is a map of the city of Sendai.	Este é um mapa da cidade de Sendai.
There are many endangered species.	Há muitas espécies em vias de extinção.
Do you think I'm wrong?	Você acha que estou errado?
I'm still skeptical about this.	Ainda sou cético por isso.
He put the book on the shelf.	Ele colocou o livro na prateleira.
Tom wouldn't stop talking.	O Tom não queria parar de falar.
He carried out his diplomatic mission with success.	Ele cumpriu sua missão diplomática com sucesso.
People use computers for both games and work.	As pessoas usam o computador tanto para jogos quanto para trabalho.
Tom was hiding in the woods.	Tom estava escondendo-se na floresta.
How could I sleep knowing that you were in the next room?	Como eu poderia dormir sabendo que você estava na sala ao lado?
He asked me about my new job.	Ele me perguntou sobre meu novo trabalho.
I'm looking for an apartment in the center of town.	Estou procurando um apartamento no centro da cidade.
By the time I arrived, Tom had already left.	Quando eu cheguei, Tom já tinha ido embora.
We will all die, sooner or later.	Todos morreremos, mais cedo ou mais tarde.
"There are the ""preppers,"" so called because they stockpile water, food and other essentials in preparation for civil unrest."	"Existem os ""preparadores"", assim chamados porque eles armazenam água, alimentos e outros bens essenciais em preparação para conflitos civis."
Go brush your teeth.	Vai escovar os dentes.
Can I borrow your cellphone, please?	Eu posso pegar o seu celular emprestado, por favor?
Would you like some?	Quer um pouco?
Let's continue from where we left off.	Continuemos do ponto onde tínhamos parado.
I was born in Boston, but I was brought up in Chicago.	Eu nasci em Boston, mas fui criado em Chicago.
Tom didn't like living in Boston.	O Tom não gostava de morar em Boston.
I'll show you exactly where I found this.	Eu vou te mostrar exatamente onde eu encontrei isso.
Tom wonders if it's true.	Tom se pergunta se é verdade.
You've traded bad for worse.	Trocaste o ruim pelo pior.
I am going to solve the problem.	Vou resolver o problema.
How ever you like.	Como você quiser.
I would like to punch Tom in the head.	Queria dar um murro na cabeça do Tom.
I'm sick of your excuses.	Eu estou farto de suas desculpas!
Stop. This is not funny.	Pare. Isso não é engraçado.
I thought that I told you not to come here.	Eu pensei que eu te disse para não vir aqui.
I speak French as well as she does.	Eu falo francês tão bem quanto ela.
A rope was thrown into the water.	Uma corda foi jogada na água.
She is growing tall.	Ela está crescendo.
When is the intermission?	Quando é o intervalo?
Which one should I use?	Qual deveria usar?
I don't want you to know my real name.	Eu não quero que os senhores saibam meu nome verdadeiro.
That's why Tom came.	Por isso que Tom veio.
He was heartbroken.	Ele estava magoado.
Come with us!	Venha com a gente!
Not many companies have an international freephone.	Poucas empresas têm um número verde internacional.
What's your girlfriend's name?	Qual é o nome da sua namorada?
I think we're very open-minded people.	Acho que somos pessoas de mente muito aberta.
The temperature is virtually fifty degrees below zero.	A temperatura está, virtualmente, cinquenta graus abaixo de zero.
I like being with Tom.	Eu gosto de estar com o Tom.
I never heard from them again.	Nunca mais soube deles.
He put the book on the desk.	Ele colocou o livro na mesa.
I have a few questions for you.	Gostaria de vos fazer algumas perguntas.
The monkey climbed up the tree.	O macaco subiu na árvore.
I'm the one who really knows Tom.	Sou eu quem realmente conhece o Tom.
I wonder what could be in the box.	Me pergunto o que poderia estar na caixa.
I may die tomorrow.	Eu posso morrer amanhã.
That's understandable.	Isso é compreensível.
We haven't changed how we think of her.	Não mudamos nossa forma de pensar sobre ela.
Tom said he was thirsty.	Tom disse que estava com sede.
Why are the lights off?	Por que as luzes estão apagadas?
I'm still in love with him.	Ainda sou apaixonado por ele.
He kept his balance.	Ele manteve o equilíbrio.
Come back to the party.	Voltem para a festa!
How did you get this picture?	Como você conseguiu essa foto?
Think first!	Pense antes de fazer!
He is very young.	Ele é muito jovem.
On stage, South African singer Shannon Hope is a feline presence, her lithe body accentuated by a tight, black satin dress, spiked onyx hair, glossed lips and red stilettos.	No palco, a cantora sul-africana Shannon Hope é uma presença felina, o corpo gracioso dela acentuado por um vestido apertado de cetim preto, cabelo escuro espetado, lábios lustrosos e saltos agulha vermelhos.
Tom has a lot of things to deal with.	Tom tem muitas coisas para lidar.
Tom did that today.	Tom fez isso hoje.
Tom doesn't usually do that.	Tom não costuma fazer isso.
I think Tom said he'd be staying in Boston for three weeks.	Acho que Tom disse que ficaria em Boston por três semanas.
I heard that he was very rich.	Ouvi falar que ele é muito rico.
The teacher suspected the student was cheating.	O professor suspeitou de que o estudante estava trapaceando.
We'll need it.	Nós iremos precisar disso.
I'm not finished doing that.	Eu não terminei de fazer isso.
Tom came to pick Mary up.	Tom veio buscar Maria.
If there's anything I can do for you, please let me know.	Se houver alguma coisa que eu possa fazer por você, por favor me avise.
I thought you understood me.	Pensei que você tinha me entendido.
We're prisoners.	Nós somos prisioneiros.
What do you think of when you look at this photo?	No que você pensa quando olha para esta foto?
Tom, I must talk to you.	Tom, eu tenho que falar com você.
Who's going to pay for that?	Quem vai pagar por isso?
Why don't you go find someone else who needs your help?	Por que vocês não vão procurar outra pessoa que precise de sua ajuda?
He refused to say more about it.	Ele não quis dizer mais nada sobre isso.
You must return the book by the end of April.	Você tem de devolver o livro no final de abril.
I assume that you're Canadian.	Presumo que vocês sejam canadenses.
Maybe I'll see you tomorrow.	Talvez eu o veja amanhã.
That's a little unfair.	Isso é um pouco injusto.
I'm not capable of doing that.	Não sou capaz de fazer isso.
You need to leave immediately.	As senhoras precisam sair de imediato.
Has he not been feeling well for months now?	Há quantos meses ele não se sente bem?
I'll stay here if you really want me to.	Ficarei aqui se você realmente quer que eu fique.
I'll make sure Tom writes to you.	Vou me certificar de que o Tom escreverá às senhoras.
My brother is his lawyer.	Meu irmão é advogado dele.
Did you know Tom lived in Boston?	Você sabia que Tom morava em Boston?
My mother has a driver's license, but she doesn't drive.	A minha mãe tem carteira de motorista, mas ela não dirige.
How did you find us?	Como nos encontraste?
