Fly!	Voe!
I can't remember exactly who took what.	Não me lembro exatamente quem pegou o quê.
Put medicine out of the reach of children.	Coloque os remédios fora do alcance das crianças.
Don't walk on my lawn!	Não ande no meu gramado!
I don't know my address yet, I'm going to stay with my friend for a while.	Ainda não sei qual é meu endereço, vou ficar na casa do meu amigo por algum tempo.
I'm just telling you what I heard.	Só estou te contando o que eu ouvi.
Count me in.	Conte comigo!
He was pretty much drunk.	Ele estava um bocado bêbado.
Why did Tom give up?	Por que Tom parou?
Neptune is the eighth planet of the solar system.	Netuno é o oitavo planeta do sistema solar.
I'll explain what each phrase means after we read them.	Vou explicar o que significa cada frase depois que lermos cada uma delas.
He was attacked as he was returning home late at night.	Ele foi atacado quando voltava para casa tarde da noite.
You haven't tried hard enough.	Você não tentou o bastante.
I'm not blind.	Eu não sou cega.
Tom is saving money to buy a house.	Tom está guardando dinheiro para comprar uma casa.
Be careful on the way home.	Tenha cuidado quando for para casa.
I'm bored.	Estou chateado.
I want you to stay in Australia until October 20th.	Quero que você fique na Austrália até o dia 20 de outubro.
Mary is wearing a beautiful red dress.	A Mary está usando um lindo vestido vermelho.
Tom knows you.	Tom a conhece.
I can't explain to you right now.	Não posso te explicar no momento.
Tom took his kids to the hospital to see their mother.	Tom levou os filhos dele para o hospital para ver a mãe deles.
She added me on Facebook.	Ela me adicionou no Facebook.
Tom was wearing a blue and white striped shirt.	O Tom estava vestindo uma camisa listrada azul e branca.
May the blessings of God rest upon you.	Que as bênçãos de Deus recaiam sobre ti.
We apologize for his rudeness.	Pedimos desculpa pela sua falta de cortesia.
She calls me often.	Ela me liga com frequência.
Is that pencil yours?	Aquele é o seu lápis?
That's just my guess.	Esse é apenas o meu palpite.
Pastoralism remains a way of life in East Africa.	O pastoralismo continua a ser um modo de vida na África do Leste.
Can you cook a meal?	Você sabe fazer comida?
I was concerned about Tom.	Eu estava preocupado com Tom.
Your clothes are filthy.	As suas roupas estão imundas.
Hang up and wait a moment, please.	Desligue o telefone e espere um momento, por favor.
I rarely eat meat.	Eu raramente como carne.
Which button did you press?	Que botão premiram?
I've seen it.	Eu o vi.
Where's your phone?	Cadê o seu celular?
I like the smell of tea. The taste, not so much.	Eu gosto do cheiro do chá; do gosto, não muito.
Invite whoever you like.	Convide quem quiser.
He showed me how to use this camera.	Ele me mostrou como usar sua câmera.
How are you doing there?	Como vão as coisas por aí?
Other plans include supporting the development of cultural and creative industries in Francophone Africa and the Caribbean, and funding cinema co-productions with North African countries.	Outros planos incluem o apoio ao desenvolvimento de indústrias culturais e criativas na África francófona e nas Caraíbas e o financiamento de coproduções cinematográficas com países norte-africanos.
I paid.	Eu paguei.
That is a significant problem.	Esse é um problema significativo.
They liked Tom.	Eles gostaram de Tom.
He or she has 30 days in which to invoke the protection of Section 37.9(g).	Ele ou ela tem 30 dias para recorrer à proteção prevista pela Secção 37.9(g).
If I were you, I would leave that word out of the sentence as I think it is a little offensive.	Se eu fosse você, omitiria aquela palavra da frase porque acho que ela é um pouco ofensiva.
I haven't told Tom.	Não contei ao Tom.
I have to talk to Tom right now.	Eu tenho que falar com o Tom agora mesmo.
She looks familiar.	Ela parece familiar.
I was pretty excited.	Eu estava muito empolgada.
I think this is a bad idea.	Acho que isso é uma má ideia.
The local priest pleaded with the people there to save the church. Several people ran to a nearby river to fetch water, but it was too late.	O padre local pediu que habitantes presentes salvassem a igreja. Algumas pessoas acorreram a um rio próximo para buscar água, porém, era tarde demais.
Tom found Mary a job.	Tom encontrou um emprego para Maria.
Tom is a lot older than my father.	Tom é muito mais velho que meu pai.
He was accompanied by his girlfriend.	Ele estava acompanhado por sua namorada.
Bitterness and revenge are not part of my character. Life's too short. One shouldn't spend time on bitterness and revenge.	Amargura e vingança não fazem parte do meu caráter. A vida é curta demais. Não deveríamos perder tempo com amargura e vingança.
You're discreet.	Você é discreto.
Tom forgot to do his French homework.	Tom se esqueceu de fazer o dever de casa de francês.
Tom didn't seem very interested in going to the concert with us.	Tom não parecia muito interessado em ir ao show conosco.
She looked embarrassed.	Ela parece envergonhada.
This is not important.	Isso não importa.
That would make a woman crazy.	Isso deixaria uma mulher louca.
I didn't sleep.	Não dormi.
Do you approve of Jill's new hairstyle?	Você aprova o novo estilo de cabelo do Jill?
Comments are not needed.	Comentários são desnecessários.
I think you should leave now.	Eu acho que você deveria ir embora agora.
For fuck sake!	Mas que diabos!
Why did Tom lie to me?	Por que Tom mentiu para mim?
Zamenhof is the creator of Esperanto.	Zamenhof é o criador do Esperanto.
My parents told me we should respect the elderly.	Meus pais me diziam que devemos respeitar os mais velhos.
We should give her flowers.	Deveríamos dar flores para ela.
Keep us informed.	Mantenha-nos informados.
We'll never make it at this rate.	Nesse ritmo, jamais faremos isso.
After only a year her breast implants started to leak and she had to have them removed.	Depois de somente um ano seus implantes mamários começaram a vazar e ela teve que removê-los.
Tom's hooked on cigarettes.	Tom é viciado em cigarros.
I urgently need to go to the bathroom.	Urgentemente preciso ir ao banheiro.
Tom isn't used to riding a motorcycle.	Tom não está acostumado a dirigir motocicletas.
One of those men is Tom.	Um desses homens é o Tom.
I have a lot of baggage, so I can't walk home.	Eu tenho muita bagagem, então eu não posso ir para casa a pé.
Is it true that you climbed this mountain?	É verdade que vocês escalaram esta montanha?
Tom got angry again.	O Tom ficou com raiva de novo.
Why don't you go back to the city?	Por que vocês não voltam para a cidade?
What do you advise?	O que você recomenda?
Is there any prospect of his recovering?	Existe alguma esperança de sua recuperação?
He gave the cat milk.	Ele deu leite ao gato.
I thought Tom would win.	Eu achei que o Tom iria ganhar.
They teach Chinese as a second national language in Singapore.	Ensina-se chinês como segunda língua nacional em Singapura.
Are you working tomorrow?	Você vai trabalhar amanhã?
It's just a product of the imagination.	É apenas um produto da imaginação.
Tom will stay here with you.	O Tom vai ficar aqui com você.
Your feet are dirty.	Os teus pés estão sujos.
Don't make any noise.	Não faça nenhum barulho.
I won't live there ever again.	Eu não vou morar lá de novo.
Can I have the menu again, please?	Posso ver o cardápio de novo, por favor?
It was a challenge.	Foi um desafio.
Tom Jackson is our only suspect.	Tom Jackson é nosso único suspeito.
You will have a new sister.	Vocês vão ganhar uma nova irmã!
This is what you must do.	Isto é o que você precisa fazer.
I think it's time for me to move into a smaller home.	Eu acho que é hora de eu me mudar para uma casa menor.
Are you gonna help me or what?	Vocês vão ou não me ajudar?
Don't be pretentious.	Não seja pretensioso.
Why are you sorry for something you haven't done?	Por que está se desculpando de algo que não fez?
Feel your heart beat!	Sinta a batida do seu coração!
I thought Tom would be able to help you.	Eu pensei que Tom poderia te ajudar.
Did Mary sign?	Maria cantou?
I will endorse it.	Eu apoiarei.
I was hoping to do as well as Tom did.	Eu esperava me sair tão bem quanto o Tom.
They loved playing in the snow.	Elas adoravam brincar na neve.
Won't you have another glass of milk?	Você não quer outro copo de leite?
I really like her.	Eu gosto mesmo dela.
I'm on the same team Tom is.	Eu estou no mesmo time do Tom.
Betty cannot keep any secret to herself for a long time.	Betty não consegue guardar nenhum segredo para si própria por muito tempo.
Tom is looking for his son.	Tom está procurando seu filho.
He is openly gay.	Ele é gay assumido.
I'll take a shower.	Eu vou entrar no chuveiro.
They told me they were surprised.	Disseram-me que estavam admirados.
I have to answer the phone.	Eu tenho que atender o telefone.
I wanted to talk with you alone.	Eu queria falar com você sozinho.
I'm a little scared.	Estou com um pouco de medo.
Whose is that notebook?	De quem é esse caderno?
That is money down the drain.	Isso é dinheiro jogado fora.
I was dizzy.	Eu estava tonto.
Mr. Hoffman also planted asparagus around a tree at its drip line, the area below the outer limit of the branches.	O Sr. Hoffman também plantou espargos à volta de uma árvore ao longo do seu tubo de gotejamento, a área abaixo do limite exterior dos ramos.
I won't comment on that.	Eu não vou comentar sobre isso.
Can you see anything at all there?	Vocês conseguem ver alguma coisa lá?
Tom is good at that.	Tom é bom nisso.
I am a successful failure.	Eu sou um fracasso bem-sucedido.
I've already forgotten where you told me you wanted me to meet you.	Eu já esqueci onde você me disse que queria que eu te encontrasse.
Tom has mental problems.	Tom tem problemas mentais.
His pen was not under the table.	A caneta dele não estava embaixo da mesa.
I'm as surprised as you are.	Estou tão surpreso quanto você.
He approached the door.	Ele se aproximou da porta.
What'll we talk about?	Sobre o que falaremos?
Tom is Mary's youngest child.	Tom é o filho mais novo de Maria.
Sasha always appreciated what I did for her.	Sasha sempre gostou do que eu fizia por ela.
I don't think Tom is Canadian.	Não acho que o Tom seja canadense.
We'd better go pick up her.	É melhor irmos buscá-la.
There were a lot of empty seats the day I went.	Havia vários lugares vazios no dia em que eu fui.
What I want now is a hot cup of coffee.	O que eu quero agora é uma xícara de café bem quente.
I'm used to talking about it.	Eu estou acostumado a falar sobre isso.
I just wanted you to see it.	Eu só queria que você o visse.
The pie that Tom made was delicious.	A torta que Tom fez estava deliciosa.
Tom said he liked the wine.	Tom disse que gostou do vinho.
What do you think I've been doing?	Que é que achas que eu andava fazendo?
It's quite cold, isn't it?	Está bem frio, não é?
They're alive.	Estão vivas.
Tom used to work in a bakery.	Tom trabalhava em uma padaria.
Tom whistled softly.	Tom assobiou baixinho.
Tom is a sports fanatic.	Tom é fã de esportes.
If it rains tomorrow, let's stay home.	Se chover amanhã, vamos ficar em casa.
Tom wasn't an innocent bystander.	Tom não era um espectador inocente.
I've never slept in class.	Nunca dormi na aula.
"In Toki Pona, the grammatical particle ""li"" indicates that whatever word comes after it is being used as a verb."	"Em Toki Pona, a partícula gramatical ""li"" indica que qualquer palavra que vem depois dela está sendo usada como um verbo."
He was in a mood of depression.	Ele estava deprimido.
Can we ask you a few questions?	Podemos te fazer algumas perguntas?
Did Tom offer you a beer?	Tom te ofereceu uma cerveja?
I'll put this in the refrigerator.	Vou pôr isso na geladeira.
I wish I was like him.	Queria ser como ele.
We forgave you.	Nós te perdoamos.
The children are hungry.	As crianças estão com fome.
They represent not only themselves but this institution as well.	Eles não representam apenas eles mesmos, mas também essa instituição.
I can not understand how everyone said the Holy War occured for a good cause.	Não consigo entender como todos diziam que a Guerra Santa ocorreu por uma boa causa.
It's confidential.	É confidencial.
Always be yourself.	Sempre seja você mesma.
You are wonderful.	Você é maravilhoso.
Tom got home by himself.	Tom chegou em casa sozinho.
He wants meat.	Ele quer carne.
This is exactly what I've been looking for.	É exatamente por isto que eu estive procurando.
You have been busy.	Você tem estado ocupado.
She told me it.	Ela me contou isso.
The addition is correct, but there is an error in your subtraction.	A adição está correta, mas você cometeu um deslize na subtração.
Mary, are you Greek or French?	Maria, você é grega ou francesa?
You don't have to get up early.	Você não tem que levantar cedo.
Tom was in a coma.	Tom estava em coma.
"""What are you studying?"" ""History."""	"""O que você está estudando?"" ""História."""
Maybe we should call Tom.	Talvez devêssemos chamar o Tom.
Tom already said that.	Tom já disse isso.
You'd better ask Tom.	É melhor você perguntar ao Tom.
The pizza is delicious.	A pizza está deliciosa.
I like your car.	Eu gosto do carro de vocês.
That computer class was a waste of time.	Esse curso de informática foi uma perda de tempo.
You took the cellphone from the table.	Você tirou o celular da mesa.
Tom is quite charismatic.	Tom é bastante carismático.
Tom certainly is intelligent.	Tom, com certeza, é inteligente.
You don't need to say anything.	Você não precisa dizer nada.
I want you to stay here.	Quero que você fique aqui.
Do you have needle and thread?	Você tem agulha e linha?
He has had a long teaching career.	Ele teve uma longa carreira de magistério.
Is there anyone in the room?	Tem alguém no quarto?
Please don't play near the railroad tracks.	Por favor, não brinque perto da linha de trem.
This should be more than enough.	Isso deveria ser mais que o suficiente.
All children are safe.	Todas as crianças estão seguras.
When was the box opened?	Quando a caixa foi aberta?
He is jealous.	Ele está ciumento.
We are attracted by what you are.	Estamos atraídos pelo o que você é.
Tom died in the earthquake.	Tom morreu no terremoto.
Return to the ship immediately.	Volte ao navio imediatamente!
Would you leave empty-handed?	Irias embora de mãos vazias?
Tom says that he hates weddings.	Tom diz que ele odeia casamentos.
Don't tell Tom where we're going.	Não conte para o Tom onde estamos indo.
Tom and Mary ate lunch together.	Tom e Maria almoçaram juntos.
According to “Hal Ka Haleel,” a compendium of his legacy and work, Hadraawi wrote the lyrics to more than 200 epic poems and the lyrics to more than 70 songs.	"De acordo com ""Hal Ka Haleel"", um compêndio do legado e da obra dele, Hadraawi escreveu os versos de mais de 200 poemas épicos e a letra de mais de 70 canções."
He saw her and blushed.	Ele a viu e corou.
Did we make it?	Conseguimos?
Tom grew up on a farm in Iowa.	Tom cresceu numa fazenda em Iowa.
I'm losing my powers.	Estou perdendo meus poderes.
You're perfectly safe.	Você está perfeitamente seguro.
This has to be stopped.	Isso tem que ser impedido.
Did you give Tom my message?	Você passou a minha mensagem para o Tom?
Can I take your picture?	Posso tirar uma foto tua?
Tom promised he wouldn't smoke anymore.	Tom prometeu que ele não iria mais fumar.
What are you downloading?	O que você está baixando?
Tom was in a very good mood yesterday.	Tom estava de muito bom humor ontem.
I want you, Tom.	Eu quero você, Tom.
That's a bad translation.	Essa é uma má tradução.
Why do you doubt it?	Por que vocês duvidam?
You need to see someone.	Você precisa ver alguém.
Which role are you going to play?	Qual personagem você vai interpretar?
I wouldn't go there so long as I could.	Eu não iria lá ainda que pudesse.
Tom and Mary won't come, will they?	Tom e Mary não virão, não é?
Tom turned on his computer.	Tom ligou o computador dele.
The Netherlands won the 2010 World Cup.	A Holanda venceu a Copa do Mundo de 2010.
I used to get good grades in French.	Eu costumava tirar boas notas em francês.
They're friends of Tom's.	Eles são amigos de Tom.
She's doing a great job.	Ela está fazendo um ótimo trabalho.
Did you see the fire?	Vocês viram o fogo?
Under the Tatoeba guidelines, it is recommended that members only add sentences in their native language and/or translate from a language they can understand into their native language. The reason for this is that it is much easier to form natural-sounding sentences in one's native language. When we write in a language other than our native language, it is very easy to produce sentences that sound strange. Please make sure you only translate the sentence if you are sure you know what it means.	Conforme normas do projeto, Tatoeba recomenda que cada membro acrescente frases apenas em seu idioma nativo, e/ou traduza de uma língua, que ele possa entender, para sua língua materna. A razão disso é que é muito mais fácil formar, na língua materna de cada um, frases que soem naturalmente. Quando escrevemos em um idioma que não é o nosso, é muito fácil criar frases que pareçam estranhas. Por favor, faça por onde só traduzir uma frase se tiver certeza de que sabe realmente o que ela significa.
He can read English easily.	Ele pode ler inglês facilmente.
I want to know what I'm supposed to do.	Quero saber o que é para eu fazer.
That made Tom angry.	Isso deixou o Tom bravo.
She showed me her garden.	Ela me mostrou o jardim dela.
Tom claimed he wasn't afraid.	Tom declarou que ele não tinha medo.
Did I wake you guys?	Eu acordei vocês?
Tom rescued me.	O Tom me resgatou.
You're wrong, Tom.	Você está errado, Tom.
When was the last time you rode a bicycle?	Quando foi a última vez que você andou de bicicleta?
Do I make myself clear, Tom?	Fui claro, Tom?
A lot of people think that lawyers get paid too much.	Muita gente acha que os advogados ganham demais.
I think we need more coffee.	Acho que precisamos de mais café.
How did the company dream up its new ad campaign?	Como a empresa gerou sua nova campanha publicitária?
Don't let Tom use my car.	Não deixe Tom usar meu carro.
I think Tom and Mary are retired by now.	Eu acho que Tom e Maria estão aposentados agora.
I want a green one.	Eu quero um verde.
Why do you spend so much time watching TV?	Por que você passa tanto tempo assistindo à TV?
It makes me sad to think of her death.	Pensar na morte dela me entristece.
I own this sentence.	Sou dono desta frase.
What'll become of the children now that both parents are dead?	O que será dos filhos agora se os dois pais morreram?
I don't think we ought to be doing this.	Eu não acho que nós deveríamos estar fazendo isto.
I really hate his dirty jokes.	Eu realmente detesto as piadas indecentes dele.
I've been waiting since 2:30.	Eu estive esperando desde as 2h30.
You can't blame me for being suspicious.	Você não pode me culpar por ser suspeito.
She's a journalist.	Ela é uma jornalista.
Tom is being sarcastic.	Tom está sendo sarcástico.
How can I jump so high?	Como eu posso pular tão alto?
Come here boy.	Vem cá, menino.
That jacket is way too big for you.	Essa jaqueta está grande demais em você.
He failed the exam because he's lazy.	Ele falhou no exame porque é preguiçoso.
Can you please tell me where the nearest public telephone is?	Você pode me informar, por favor, onde fica o orelhão mais próximo?
You definitely like Chinese food.	Você gosta mesmo de comida chinesa.
It's Tom's.	É do Tom.
You must never forget that.	As senhoras não deverão jamais esquecer isso.
Does this medicine really work?	Esse remédio funciona mesmo?
Tom hasn't done that since 2013.	O Tom não tem feito isso desde 2013.
The cherry blossoms are in full bloom.	As cerejeiras estão em plena floração.
I prefer to work on my own.	Eu prefiro trabalhar por conta própria.
Replace the complement with the appropriate pronoun.	Substitua o complemento pelo pronome apropriado.
Who should I believe?	Em quem eu deveria acreditar?
Do you accept Jesus Christ as your personal Savior?	Você aceita Jesus Cristo como seu Salvador pessoal?
Everyone except Tom was standing.	Todos, exceto Tom, estava de pé.
He didn't tell me what the matter was.	Ele não me disse de que se tratava.
I don't have many opportunities to do that.	Eu não tenho muitas oportunidades para fazer isso.
They don't deal in political matters.	Eles não tratam de assuntos políticos.
Do you usually walk home?	Você costuma ir em casa?
Nobody can deny the fact the world economy revolves around the American economy.	Ninguém pode negar o fato de que a economia mundial gira em torno da economia americana.
Mary already has too much to worry about.	Mary já tem muito com o que se preocupar.
She had some fun.	Ela se divertiu.
The cat is chasing after the squirrel.	O gato está perseguindo o esquilo.
You were wrong after all.	Você estava errado, afinal.
I'm not copying your homework.	Eu não vou copiar a sua tarefa.
She needs a little cheering up.	É preciso que alguém a anime um pouco.
Tom found a job for Mary.	Tom encontrou um emprego para Maria.
How do I turn this off?	Como desligo isso?
I knew that you'd need to do that.	Eu sabia que você precisava fazer isso.
Don't worry, be happy!	Não fique preocupado, fique feliz!
You're old.	Tu és velho.
That's very personal.	Isso é muito pessoal.
Don't be shy about speaking in front of people.	Não seja tímido de falar na frente das pessoas.
The man standing over there is the owner of the store.	O homem parado ali é o dono da loja.
You didn't say that.	Não foi isso o que você disse.
Tom is getting upset.	O Tom está ficando triste.
She is a bitch.	Ela é uma puta.
You're just sad.	Você só está triste.
Why are you still awake?	Por que ainda estais acordados?
I fell out of the window when I was painting.	Eu caí da janela quando estava pintando.
Can we go home?	Podemos ir embora?
Do you realize the danger you're in?	Você percebe o perigo que está correndo?
Do you always do that?	Vocês sempre fazem isso?
She felt so sad and she didn't know why.	Ela estava muito triste e não sabia por quê.
I want everybody to be happy.	Eu quero que todos sejam felizes.
How often do you buy clothes?	Com que frequência vocês compram roupas?
You don't have a life jacket.	Você não está com colete salva-vidas.
Tom's dog is smart.	O cachorro de Tom é inteligente.
May God give us a good day!	Deus nos dê um bom dia!
This wasn't Tom's idea.	Essa não era a ideia de Tom.
Please take me out for dinner!	Por favor me leve para jantar!
Has anybody come?	Chegou alguém?
I was kicked out of the store.	Fui expulso da loja.
He is beginning to get on my nerves.	Ele está começando a pegar nos meus nervos.
Do we have to do this every day?	Nós temos que fazer isso todo dia?
We've arranged a car to pick you up.	Providenciamos um carro para buscá-lo.
We should probably help them.	Provavelmente deveríamos ajudá-las.
I think that I can do that again.	Eu acho que posso fazer isso novamente.
Are you really awake?	Você realmente está acordado?
Tom doesn't like playing in the sand.	Tom não gosta de brincar na areia.
That's very controversial.	Isso é muito duvidoso.
She told me you were studying English by yourself.	Ela me disse que você estudava inglês sozinho.
I want to live with my wife.	Quero viver com minha esposa.
I'm totally and completely in love with you.	Estou total e completamente apaixonado por ti.
I'll drive to Boston tomorrow.	Eu dirigirei para Boston amanhã.
No peril daunts her, no prospect of fatigue or discomfort disheartens or repels her.	Nenhum perigo a intimida, nenhuma expectativa de fadiga ou desconforto a desencoraja ou repele.
We just have to keep winning.	Nós só temos que continuar vencendo.
I thought that was really cool.	Eu pensei que fosse muito legal.
Your speech will be recorded in history.	Seu discurso será gravado na história.
He is by far the wisest of the three.	Ele é de longe o mais sábio dos três.
I'm tired of arguing.	Estou farto de tanta discussão.
She is always scared.	Ela está sempre assustada.
I think it will cost you more than 10,000 yen to have this camera fixed.	Acho que vai te custar mais de 10.000 ienes para consertar esta câmera.
You're sociable.	Você é sociável.
When is the intermission?	Quando é o intervalo?
I waited for you because you had promised to come.	Esperei por você porque você tinha prometido vir.
She does not take a rest for an instant.	Ela não tira um descanso por nenhum instante.
She doesn't eat beef.	Ela não come carne de boi.
Why am I supposed to go there?	Por que eu devo ir lá?
He's very young. He's much younger than Tom.	Ele é muito novo. Bem mais novo do que Tom.
Tom is watching the evening news.	Tom está assistindo o jornal da noite.
There were three left.	Ainda havia três.
I want everything to be perfect.	Quero que tudo esteja perfeito.
Is there something else you can do for Tom?	Tem algo mais que você pode fazer pelo Tom?
How is your last name written?	Como se escreve o seu último nome?
Tom and his friends painted the barn.	O Tomás e os amigos pintaram o celeiro.
I had to go there.	Eu tive que ir lá.
Tom needs my help.	Tom precisa da minha ajuda.
Isn't she a good French singer?	Ela não é uma boa cantora francesa?
That will cost you a lot of money.	Isso vai te custar muito dinheiro.
Tom tried to cheer Mary up, but she kept on crying.	Tom tentou animar Maria, mas ela continuou chorando.
Try to understand me.	Tente me entender.
All of them swim very fast.	Todos eles nadam muito rápido.
Tom loved animals.	Tom amava os animais.
The court also ruled that should Uganda delay making the payments, an annual interest rate of six percent on each installment shall accrue on any overdue amounts.	O tribunal também deliberou que se o Uganda se atrasar a fazer os pagamentos, uma taxa de juros anual de seis por cento em cada prestação será acrescida sobre quaisquer montantes em atraso.
Can I go with you till the door?	Posso acompanhá-lo até a porta?
What's my next step?	Qual é meu próximo passo?
Where were you and Tom?	Onde você e Tom estavam?
It was my plan.	Era o meu plano.
We have opposite opinions.	Temos opiniões opostas.
I thought you only dated girls who were shorter than you.	Eu pensei que você só namorou meninas que eram mais baixas que você.
She waited longingly for the return of her husband.	Ela esperou anciosamente pela volta do seu marido.
I was starving.	Eu estava morrendo de fome.
I didn't lie.	Eu não menti.
They were following different streets.	Eles estavam seguindo ruas diferentes.
She cut down a tree.	Ela cortou uma árvore.
This is the first time I've ever beaten my dog.	É a primeira vez que eu bato no meu cachorro.
There are some things in this world that can't be explained by words alone.	Tem coisas no mundo que simplesmente não se pode esclarecer por palavras.
I came to tell you that you don't need to worry.	Vim dizer-te que não é preciso te preocupares.
I hardly know you.	Eu mal o conheço.
I can't calculate as fast as he.	Não posso calcular tão rápido quanto ele.
Can I get you some water?	Posso trazer água para você?
Tom is too drunk to do that now.	Tom está bêbado demais para fazer isso agora.
Tom'll talk.	Tom falará.
Tom allowed us to leave.	Tom nos permitiu partir.
Tom said that he'd give me thirty dollars if I ate an earthworm.	Tom disse que me daria trinta dólares se eu comesse uma minhoca.
Do you have a map of the city?	Você tem um mapa da cidade?
Tom was still asleep when Mary left for work.	Tom ainda estava dormindo quando Mary foi trabalhar.
Penny saved is a penny got.	Tostão poupado é tostão ganhado.
Na'vi is a conlang for the Avatar film.	Na'vi é uma língua artificial para o filme Avatar.
Don't forget to feed the chickens.	Não se esqueçam de dar comida às galinhas.
That's all Tom thinks about.	Tom só pensa nisso.
"""I'll never understand women"", said Tom."	''Jamais entenderei as mulheres'', disse Tom.
Brazil is hosting the Olympic Games.	O Brasil está sediando os Jogos Olímpicos.
How did you get there?	Como você chegou lá?
There were none in the room.	Não havia ninguém na sala.
Regular exercise is beneficial to good health.	Exercícios regulares são benéficos para a saúde.
Tom is still too young to drive.	Tom ainda é muito jovem para dirigir.
What kind of car does he drive?	Que tipo de carro ele dirige?
He didn't help the poor.	Ele não acolheu os pobres.
Joe was believed to have shot the prisoner.	Acreditava-se que Joe tinha atirado no prisioneiro.
He has surprised the public.	Ele surpreendeu o público.
These letters cannot be read.	Estas cartas não podem ser lidas.
You do that the same way Tom does.	Você faz isso da mesma maneira que o Tom.
I no longer love you; therefore, I am sad.	Eu não te amo mais, daí eu estar triste.
Their excuses cut no ice with her.	As desculpas deles não ajudaram em nada com ela.
There is no need for you to stay here.	Tu não precisas ficar aqui.
I'll never leave Tom.	Eu nunca deixarei o Tom.
I think that perhaps I'll do that.	Eu acho que talvez eu faça isso.
Tom said that you wanted to study abroad.	Tom disse que você queria estudar no exterior.
Are you involved?	Você está envolvido?
I can't bring myself to help him.	Não posso ajudá-lo.
I don't know when I'll be back.	Eu não sei quando estarei de volta.
If I'm late again, I'm going to be fired.	Se eu me atrasar de novo, serei demitido.
A newcomer to acting, Yalitza Aparicio is in the running for Best Actress this Sunday at the Academy Awards.	Uma estreante no cinema, Yalitza Aparicio concorre para Melhor Atriz este domingo nos Prémios da Academia.
Frankly speaking, I don't want to go with you.	Falando francamente, eu não quero ir com você.
I would like ten cookies.	Dez biscoitos, por favor.
I want to accept Islam.	Quero aceitar o Islã.
I don't like this camera.	Eu não gosto dessa câmera.
Who's your favorite Charlie's Angel?	Quem é a sua Pantera favorita?
Don't leave the air conditioner on.	Não deixe o ar condicionado ligado.
Let me show you an example.	Deixe-me te mostrar um exemplo.
Aboriginal groups have criticized a new law intended to protect cultural heritage in Western Australia.	Grupos aborígenes criticam uma nova lei destinada a proteger o património cultural na Austrália Ocidental.
I'm in the taxi.	Eu estou no táxi.
I can't let this happen.	Não posso deixar isso acontecer.
I cannot grill this meat. It has gone bad!	Não posso assar esta carne. Ela se estragou!
The ozone and aerosol-measuring instrument is set for a March 2016 launch to the International Space Station.	O instrumento de medição do ozono e dos aerossóis está pronto para o lançamento de março de 2016 rumo à Estação Espacial Internacional.
It was cheaper than I'd thought it would be.	Era mais barato do que eu pensava que seria.
French was the only foreign language that they taught at my school.	Na minha escola, apenas o francês era ensinado como língua estrangeira.
Don't touch me, you filthy plebeian!	Não me toque, seu plebeu nojento!
Is it broken?	Tá quebrado?
Tom told me that he couldn't really trust Microsoft.	O Tom me disse que ele não conseguia confiar muito na Microsoft.
Tom is a teacher now.	Tom é professor agora.
Did you sleep all day?	Você dormiu o dia todo?
Tom couldn't stop coughing.	Tom não conseguia parar de tossir.
It's time to take the pie out of the oven.	Está na hora de tirar a torta do forno.
I ran out of ideas.	Estou sem ideias.
Let me tell you how it can be done.	Deixe-me dizer como isso pode ser feito.
They made breakfast.	Eles fizeram café da manhã.
Were you a soldier?	Você era soldado?
Well, I loved it.	Bom, eu adorei.
He almost never gets angry.	Ele quase nunca fica nervoso.
Did you come here alone?	Você veio para cá sozinho?
We should do better.	Deveríamos melhorar.
It has to be there.	Isso tem de estar lá.
Were you there?	Vós estáveis lá?
They have been busy.	Eles estiveram ocupados.
Is this a new system?	Este é um novo sistema?
Tom still feels embarrassed about that, and rightfully so.	Tom ainda se sente envergonhado com isso, e com razão.
By their estimation, more than 300,000 foreign students from 175 different countries took the test this past year.	Segundo as estimativas deles, mais de 300.000 estudantes estrangeiros oriundos de 175 países diferentes fizeram o teste o ano passado.
Tom tried to stop us.	Tom tentou nos parar.
It was a dark night.	Foi uma noite escura.
Tom said you're not a real doctor.	Tom disse que você não é um médico de verdade.
Japan's consumption of rice is decreasing.	O consumo de arroz no Japão está decrescendo.
Mr Brown is looking for his own glasses.	O Senhor Brown está buscando os seus óculos.
Ken can play the violin, not to mention the guitar.	Ken pode tocar violino, sem mencionar o violão.
Tom's truck is parked over there.	O caminhão de Tom está estacionado ali.
Was Tom sleeping?	Tom estava dormindo?
There once was a tiny sprite, much loved by children. She would frolic with the birds and the beasts in the forest, and sing songs, or play her flute; sometimes, she would visit the village, where the humans lived, and cavort with her favorite boys and girls.	Era uma vez uma pequena fada, muito amada pelas crianças. Ela gostava de brincar com os pássaros e os animais na floresta, e cantar canções ou tocar sua flauta; às vezes, ela visitava a aldeia, onde os seres humanos viviam, e corria e brincava com os meninos e meninas de sua preferência.
We watched the sun be hidden by the horizon.	Observamos o sol esconder-se pelo horizonte.
You were delirious.	Vós deliráveis.
It is not enough to know how to move the pieces. You have to understand the game of chess.	Não basta saber mover as peças. Você tem de entender o jogo de xadrez.
Put the animals into the cage.	Coloque os animais na jaula.
You can't reanimate the dead.	Você não é capaz de reanimar os mortos.
Your work is very good.	Seu trabalho é muito bom.
She flared up with anger.	Ela inflamou-se com raiva.
